name, lng, lat
El Rawda Primary Experimental School, 29.9567006, 31.1491824
El Salam Experimental Language School, 31.3439913, 29.8470302
El Sawahel Primary Experimental School, 29.878006, 31.211232
El Sawaleh Primary Experimental School, 29.9001688, 31.1901625
El Sayeda Aaesha Preparatory Experimental Language School, 31.2385754, 30.0728942
El Sayeda Aaesha Primary Formal Langauge School, 31.2383506, 30.072091
El Sayeda Khadiga Experimental Language School, 31.2967336, 30.1160299
El Sayeda Nafeesa Experimental School, 30.0052291, 31.2466988
El Shaheed Ahmed Hamdy Experimental School, 31.2344822, 30.0008653
El Shaheed Ossama Ahmed Ismail Secondary Experimental School, 31.3913592, 30.0518757
El Shaheed Salah El Din Desouqy Official Language School, 29.997898, 31.261955
El Shaimaa Official Language School, 31.268157, 30.124247
El Shark El Awsat Secondary Experimental School, 29.9666127, 31.2381192
El Sheikh Zayed Experimental Language School, 31.0124892, 30.0310415
El Sheikh Zowain Experimental School, 30.54761, 31.19624
El Shorouq Preparatory Experimental School, 31.3306716, 29.8518365
El Tahrir Experimental Language School, 31.181708, 27.181136
El Tanweer Experimental School, 29.780167, 31.1221158
El Thaghr Experimental Languages School For Boys, 29.9723956, 31.2468215
El Wehda El Arabeya Primary Experimental Language School, 31.2179062, 30.0759994
El Zahraa Experimental School, 31.325813, 30.092444
El Zohour Experimental School, 29.9034152, 31.1798768
Esna Official Language School, 32.518999, 25.281677
Essmat Abdel Magid Experimental Language School, 30.0092088, 31.2450306
Etehad El Gomhoureyat Experimental Language School, 29.9061396, 31.1896686
Experimental Language School - French, 32.688135, 25.666498
Experimental Secondary School For Girls, 31.220105, 30.068502
Experimental Unified School, 31.341503, 30.05533
Ezbet El Borg Experimental Language School, 31.837445, 31.502683
Farouq Garana Experimental Language School, 30.0102577, 31.2486812
Fatema El Zahraa Experimental Language School, 31.3109653, 29.8985253
Fatema El Zahraa Experimental Language School, 29.9887679, 31.2298738
FZS - Fatema El Zahraa Official Language School, 31.240903, 30.066954
Gaafar Experimental School, 29.8801157, 31.2037536
Gaber Ibn Hayyan Experimental School, 29.803504, 31.003844
Galal Official Language School, 31.2481105, 30.0774884
Gamal Abdel Nasser Experimental Preparatory School, 31.204438, 30.047543
Gamal Abdel Nasser Experimental School, 31.333836, 30.042785
Gamal Abdel Nasser Experimental School, 31.206356, 30.046915
Gamal Abdel Nasser Experimental School For Languages, 30.8145395, 27.5868432
Gamal Abdel Nasser Experimental Secondary School, 31.205879, 30.047349
Gamal Abdel Nasser Preparatory Experimental School For Boys, 29.9156229, 31.1969755
Gawad Ali Hosny Experimental School, 31.2482531, 30.0819764
Gouhar Experimental School, 31.250664, 30.082613
Hadayek El Maadi Experimental Language School, 31.253635, 29.967857
Hamza Ibn Abdel Motaleb Experimental Language School, 29.79292, 31.109545
Hassan Abou Bakr Official Integrated Language School, 31.138375, 30.188158
Hassan Ibn Thabet Experimental School, 31.365435, 30.054743
Hefny Nasef Official Primary Language School, 29.926521, 31.210513
Hoda Shaarawy Experimental Language School, 29.947781, 31.221841
Hoda Shaarawy Experimental School, 31.301162, 29.889659
Ibn El Nafees Experimental School, 31.347595, 30.058115
Ibn Roshd Experimental School, 29.8385214, 31.0853203
Ibn Roshd Primary Experimental Language School, 31.2893393, 30.1077489
Ismail Sabry Experimental School, 29.872545, 31.202001
Kafr Saad Primary Experimental School, 31.685514, 31.352618
Kamal El Din Hafez Primary Official School, 31.649647, 31.121734
Khaled Ibn Walid Experimental School, 31.343371, 30.047615
Koleyet El Salam Experimental Language School, 31.307758, 30.09496
Koleyet El Salam Experimental School For Boys, 31.307783, 30.095057
Language Experimental Official School, 31.4550242, 30.886341
Mahmoud Abbas El Aty Experimental School, 30.05964, 31.31271
Mahmoud Taimour Experimental Language School, 29.9678197, 31.2392401
Marshal Ahmed Ismail Governmental Languages School, 29.9264712, 31.2129254
Mathematical Experimental School, 32.634957, 25.692599
Misr Experimental Language School, 31.2500634, 30.004529
Misr Primary Experimental Language School, 31.2499758, 30.0045239
Mogamaa Zahran Experimental Language School, 29.9454395, 31.2136497
Mohamed Anwar El Sadat Experimental Language School, 31.4241466, 30.1565622
Mohamed Metwally El Shaarawy Primary Experiment School, 31.3678764, 30.0527837
Mohamed Zahran Experimental School, 29.9454395, 31.2136497
Momtaz Nassar Primary Experimental Language School, 31.420341, 26.988879
Monir El Gammal Experimental Language School, 30.012222, 31.2486
Mostafa Kamal Helmy Primary Experimental School, 30.0100042, 31.248468
Mostafa Kamel Experimental Secondary School, 31.240903, 30.058644
Mostaqbal Zahraa El Maadi Experimental Preparatory School, 31.3112712, 29.9642019
Mousa Ibn Nossair Experimental School, 32.5385213, 29.9683148
Mousa Ibn Nossair Experimental School, 32.5384921, 29.9682849
Moussa Ibn Noseir Experimental Language School, 31.2304829, 30.0761107
Mubarak Primary Experimental School, 31.356858, 30.0683534
Nabaweya Moussa Experimental School, 29.918705, 31.202555
Nabil El Wakkad Experimentally School, 29.886843, 31.192391
Naguib El Kilany Experimental School, 29.7620788, 31.0772884
Okba Ibn Nafea Experimental School, 31.201864, 29.993602
Omar El Farouq Experimental School, 31.505038, 30.592433
Omar Ibn Abdel Aziz Experimental Language School, 31.3342336, 29.8525669
Omar Ibn Abdel Aziz Experimental Primary School, 31.3732624, 31.0382107
Omar Ibn Abdel Aziz Experimental School, 31.315725, 30.114552
Omar Ibn El Khattab Experimental School, 31.343172, 30.089808
Omar Ibn El Khattab Experimental School, 30.1296629, 31.1357678
Omar Ibn El Khattab Secondary Experimental School, 31.2547652, 30.0366967
Omraneya Experimental Language School, 31.1918324, 29.9923565
Orman Experimental Secondary Language School, 31.2095082, 30.0311576
Port Said Primary Experimental School, 29.918807, 31.211884
Quwaisna Primary Experimental Language School, 31.136477, 30.540521
Ragheb Official Language School, 29.9037458, 31.1815365
Ramsis Primary Experimental Language School, 31.2592204, 30.0546708
Ras El Bar Preparatory Experimental Language School, 31.831909, 31.506465
Rolan Primary Experimental School, 29.9954278, 31.2299379
Saad Ibn Abi Waqqas Experimental School, 29.7843982, 31.1297445
Saad Zaghloul Experimental School, 31.3019773, 29.9093196
Salah El Din El Aiouby Primary Experimental School, 31.819477, 31.421032
Salman El Farsy Experimental Language School, 31.408741, 30.163639
Samir Primary Experimental Language School, 29.9129069, 31.1908148
Samy El Baroudy Official Language School, 29.961216, 31.237152
Saqr Qoraish Experimental Language School, 31.269295, 30.069435
