ATM,Address,lat,lon
Borg El Arab,"44 Aly Ibn Abe Taleb St., New Borg Al Arab",30.8825867,29.577148
Belqas,El Gomhouria St.,31.215381,31.362818999999998
Beba,"Al Tahrir st,",28.923791,30.98389
Bani sweif,43 23 Rd July St - Bani Sweif,29.075776,31.102319
Bani Mazar,Ibrahimaya St.- Bani Mazar,28.4970668,30.804795
Banha El Gamil,El-Gamil Banha Beside Banha court,30.4477164,31.1795264
Banha,Saad Zaghlool St.,30.4598229,31.1804277
Balianh,3 Samir Abd El Kader El Karm,26.234786,32.002479
Bahar Aazam,"132 El Bahr El Aazam St, Giza",29.997081,31.214344
Aswan,"Cornish El Nil st, Aswan",24.0944639,32.8971756
Assuit,252 Saad Zaghloul St.Banks Sq.,27.1780869,31.1856258
Altor Sinai,29 Ahmed Hamdy St.,28.2417062,33.6279649
Almaza,2 Almaza street from Al Thawra street-Heliopolis,30.08348,31.342076
Alexandria,"6 Salah Salem St., Atareen",31.1968342,29.8957863
Al Areish,"23 July st, El Areish",31.1360467,33.7991542
Agouza,"106 El Nil St., Agouza",30.042645,31.218968
Abu Tesht,Port Said Street,26.1223583,32.0949376
Abu Qir,"23 Port Said St., Abu Keir",31.321307,30.06329
Abu Hommos,Naser Street - Abu Homos,31.1000002,30.3109682
Abu - Qurqas,El Gomhouria St. (El Fekreya),27.9325407,30.837577
Abo Tige,"ElGalaa St., abo Tige",27.0504214,31.3167751
Abnub,El Gomhouria St.,27.262569,31.148086
Abbassia,"3 Ramsis St. Extension, Misr Travel Towers, Abassia Square",30.072418,31.285484
6 of October Industrial District,44 1st Industrial Zone,29.938034,30.899357
6 of October,"Al Zohor st, Distinguished Area",29.98988,30.979691
43307,"157 26th of July St., Zamalek",30.05921,31.224161
43235,"3rd District, Business Men Area",29.8295688,31.364454
10th Ramadan .District3,Banking Area - District 3 - 10th Ramadan,30.296865,31.746406
10th of Ramadan New,Mostafa Moshrafa St beside Sednawy 10 of Ramdan,30.2899635,31.7398667
Misr &amp; Sudan,"133 Masr &amp; El Sudan st,",30.083415,31.282099
