ATM,Address,lat,lon
Americana Plaza,El Sheikh Zayed Behind Hyper One,30.027403,31.013705
Watanya Station-October,El Wahat Road Cairo- after media production City about half a kilo inside Wataneya Gas Station Market,29.961822,31.040915
Silver Star Mall,"Area 82-83 Siver Star Mall, New Cairo",30.00352,31.421161
New Belqas Branch,"Sameh El Refaee st., - El Mahkama st., - Belqas",31.21536,31.362805
Ezz Al Dekheila Steel,Alexandria - Matrouh road,30.964187,28.758613
Abbas ElAkkad Branch 1,Abbas El Akkad st.,30.055054,31.338005
Ganoub El Wadi Petroleum Holding Co.,"El Nor st., from Ahmed Taysser",30.074869,31.332804
Beshay Steel Co.,Beshay Steel company-Industrial Zone Fifth Egyptian American Steel Rolling Mill-Sadat City,30.369811,30.55021
Oriental weavers,Industrial Zone B1,30.278322,31.719428
Saad Zaghloul Branch,59 Saad Zaghloul St.,31.200468,29.900496
Sharm Sporting Club,"Sharm Sporting Club St, from Mohamed El yamany St, beside the Old Market",27.862801,34.289317
Savola,"Kilo 55, Alex. Cairo Desert Road,Khaled Ibn El Waleed entrance.- Alexandria Sugar Company (Savola) at Nubariayh",30.815356,29.853244
Maadi Branch,2 Waheeb Doos St From 9St - Maadi,29.960177,31.258965
Beshay Steel Co.,Beshay Steel company-Industrial Zone Fifth Egyptian American Steel Rolling Mill-Sadat City,30.36995,30.550243
Roushdy Pharmacy,"Roushdy Pharmacy, 76 Hadayek El Ahram, Khofo Entrance (first entrance ),Giza.",29.979855,31.109979
Menya Br.,30 Hoorya St.Cournish El Menya Beside El Awkaaf Building,28.101063,30.757197
Maghagha Branch,"85 El Gomhouria St, Maghagha",28.647867,30.842756
Free Zone,Eurotex Company - in front of the public free zone - Port Said,31.245801,32.293196
Sakalta Branch,El Gazaer St.,26.658407,31.673514
Wadi El Natron Branch,"Al Kilo 106 Cairo Alexandria road, beside the rest house",30.3953748,30.3726348
Hadayek El Qobba Branch,"9 El Qods St., Off Waley El Ahd St.",30.093578,31.289588
Shoubra Branch,46 Shoubra St.,30.071053,31.24472
Smart Village Branch,Smart Village,30.078432,31.013648
Hawamdiya Branch,"1 Masr Asiyut St., City Centre Building",29.901933,31.269826
Faraskur Branch,El Cournish,31.327989,31.717674
Shooting Club,20 A Shooting club street,30.042944,31.203001
Ministry of Youth &amp; Sport,"Mehwar 26 July, in front of Zamalek Club - Meet Oqba",30.061554,31.205168
El Tayaran Branch,15 rabba El Adawea square - El Tayarran street,30.068003,31.3245589
Industrial Zone Branch (Ismailia),Industrial Zone,30.583294,32.203862
Haram Branch,187 El Haram St. Spatis Station,29.994526,31.162789
Kafr El-Zaiyat Branch,Abu Bakr El Sedeec St.,30.8255648,30.8120316
Isna Branch,Nahr El Nil St.,25.2993594,32.5553066
New Qena Branch,23 July St.,26.1585027,32.7142891
Dar El-Salam Branch,Abd El Hamied Radwan Square,26.2750994,32.0558095
Tima Branch,1 Ahmed Orabi St.,26.9027759,31.435031
Garden City Branch,20 Gamal El din Abu El Mahasin,30.0369999,31.2310973
Abu Hommos Branch,Naser St.,31.1000002,30.3109682
Ragab Sons - Faisal,Faisal St.,30.0135427,31.1994928
Cemex Firm - Assiut,Cemex Assuit Firm,27.142970300000002,31.0125536
AlexBank Club,"Souk shedia st, ElIbrahimia",31.211338,29.926001
El Dekhila Branch,2 National Steel Company premises,31.120317,29.803237
New Damieta Branch,"15, 1st District, Region 1",31.430741,31.691973
Abnub Branch,El Gomhouria Street,27.262569,31.148086
Luxor Branch,"55 Nile St, Luxor",25.705767,32.643127
Sinnuris Branch,"1 Shohadaa SQ., HDB Building",29.410224,30.86658
Assuit Petrol,"Assiut petroleum area , Gahdam village",27.200301,31.114413
Sheikh Zayed Branch,"Mall Zayed City Center, Sheikh Zayed",30.0404759,31.0081306
New Kafr El-Zaiyat Branch,El Bahr St.,30.8240538,30.811404
Muski Branch,"14 Gohar El Kaied, Muski",30.048872,31.256599
Nubareya Branch,"Nubareya City, in front of El Nubareya administrative building",31.1950193,29.8976478
Hehya Branch,El Gomhouria St.,30.6723842,31.5899232
Samannoud Branch,"El Bahr street, - Samanoud - Gharbia",30.961924,31.246238
Mallawi Branch,Bank Misr street.- Mallawi - Menya,27.73713,30.847273
FAO Branch,11 El Eslah El Zeraie street - Dokki,30.044239,31.208749
Sinbillawein Branch,Port Said Street - Sinbillawin,30.882405,31.46034
Qus Branch,El Gomhouria Street - Qus,25.9179279,32.759074
Dishna Branch,El Mahata Street - Dishna,26.1229796,32.4622232
Girga Branch,5 Saad ZaglolStreet - Girga,26.3366579,31.8903762
Quweisna Branch,Ibrahim El Khaliel street,30.54928,31.136171
Dekernis Branch,El Orouba street,31.0859939,31.5926671
Abu - Qurqas Branch,El Gomhouria Street,27.9325407,30.837577
Kiroseiz Branch,9 Ibrahim Sherif st. Mostafa Kamal - Alexandria,31.223321,29.948279
Nabarouh Branch,Al Mafarek - Nabarouh - Dakaliya,31.0968491,31.2961301
New Bani Sweif Branch,First district - Nile East - New Bani Sweif,29.072869,31.113147
El Bagour Branch,"El Gish St, Amam el nasb eltezkary - El Bagour Monofiya",30.4253838,31.037364
Abo Tige Branch,"ElGalaa St., abo Tige",27.0504214,31.3167751
Nasr City Branch,"9 Abd Alla El Arabi st, Nasr City",30.049591,31.327367
6 of October Branch,"Al Zohor st, Distinguished Area",29.98988,30.979691
Stella De Marie,Al Salam Road,27.9046,34.329813
Tookh Branch,"Al Delta st, Tookh",30.3593878,31.2000588
Qaha Branch,"El Qanatir El Khiria st, Qaha",30.2781834,31.2062359
Suez El Sabah Branch,"3 El Hai El thalith st, El Sabah City",29.988972,32.519944
Latif Helwan Branch,33 Haidar - Latif Sq.,29.8424377,31.3358483
Falaki Branch,"8 El Maglis El Shaab st, Cairo",30.039561,31.23825
Belqas Branch,"Al Gomhoria st, Belqas",31.2141136,31.3590145
Alexandria Branch,"6 Salah Salam st, El Manshea",31.1968342,29.8957863
Ghamra Branch,"227 Ramses St, - Cairo",30.0664779,31.2601724
Banha Branch,"Saad Zaghlol st, Banha",30.4598229,31.1804277
Talaat Harb Branch,23 Tallat Harb street-El Manshea,31.196981,29.898439
Tahta Branch,Portsaid street - tahta,26.7696226,31.5037358
Abu Tesht Branch,Port Said Street,26.1223583,32.0949376
Port Fouad Branch,Massaken Iskan El Hizb El watani,31.2452829,32.3202217
Port Tawfik Branch,"9 El Zahar Paybars st,",29.951165,32.569436
Qantra Gharb Branch,"Cross El Tahrir st, and El Geesh st",30.854135,32.309128
Dayroot Branch,"Al Galaa st, Abu Gabal Zone",27.554623,30.8180881
Treasury Department - Aluminum Complex,Naaga Hamady,25.988755,32.3317337
Sherbin Branch,"Al Geesh st, Sherbeen",31.1944297,31.5202045
El Badary Branch,Beside Police station,26.9929562,31.4156467
Met Ghamr Branch,"Al Horia st, Met Ghamr",30.717996,31.252673
Desouk Branch,"Saad Zaghlol st, Desouk",31.1348575,30.6394261
6 of October Branch Industrial District,the first Industrial District - zone 44,29.938034,30.899357
Kafr El Dawar Branch,"89 port said st, kafr El Dawar",31.1341228,30.1367104
Edfo Branch,"Cornish El Nil st,",24.9790657,32.881844
Assuit Branch,"252 Saad Zaghlol st, Assuit",27.1780869,31.1856258
Safaga Branch,"El Gomhouria st,beside Maca hotel",26.725225,33.93695
Nasr City Club Branch,"El Mokheem El Daeem st, Nasr City Club",30.059242,31.309715
El Suez Branch,384 El Geesh St.,29.971456,32.550001
Sherif Branch,23 Gawad Hussni St.,30.04974,31.243433
Rashid Branch,"Abd El Salam Araf st, Rashid",31.400945,30.417548
Shebin Elkom Branch,"Al Madares St, Shebin Elkom",30.6109903,30.9871289
Khanka Branch,The Central Hospital St.,30.221943,31.360894
Nagaa Hamady Branch,Talaat Harb St.,26.0505756,32.2420514
Zamalek Branch,8 El Kamal Mohamed St.,30.059442,31.219523
Semad Abu Qir Branch,El Tabia Line Beside Abu Qir Building,31.268971,30.101377
Abu Qir Branch,23 Port Said St.,31.321307,30.06329
Borg El Arab Branch,44 Aly Abn Abu Taleb Amam Gehaz Elmadina - Borg El Arab,30.8825867,29.577148
Cizostrese Branch,19 Salah Salem - El Manshea,31.196109,29.897623
Al Areish Branch,"23 July St., El Areish",31.1360467,33.7991542
Hurghada Branch,El Nasr Road El Dahar - Hurghada,27.247171,33.823897
Banha El Gamil Branch,"Cross Gamil St., and naamit St.,",30.4477164,31.1795264
Sharm El Sheikh Branch,"Hadabt Am El Sed, Banking Area Sharm El Sheikh El Sheikh",27.8601686,34.3043107
Aswan Branch,Cornish El Nil St.,24.0944639,32.8971756
Damanhour Branch,Gomhouria St.,31.0430298,30.4677165
Gomhouria,26 El Gomhouria St.,30.0484281,31.2465549
Mansoura Branch,139 El Gomhouria St.,31.047258,31.37691
Fakous Branch,Taaret El Menya St.,30.72194444,31.79361111
Industrial Mubarak Region Branch,Indusrtrial Mobarak Region,30.5379412,31.1770535
Concord Salam Hotel,"Concord Salam Hotel, Heliopolis",30.123881,31.3480631
Wataneya Station,El wafaa W Elamal Station,30.022321,31.343426
Heliopolis Branch,99 Bahary Elmereland,30.099771,31.322944
Gleem Al Teram Branch,"174 Abdel Salam Araf, Saba Pacha",31.23861111,29.96222222
Manial Branch,5 Mamalik Sq. Paybars Tower,30.013459,31.225111
Golf Market,Tagamo 5 Region 4 Taawen Gas Station,29.99658,31.420349
Maamoun Branch,Cross Maamoun St. and Mohamed Osman,30.786984,30.991042
Misr &amp; Sudan Branch,133 Masr &amp; El Sudan St.,30.083415,31.282099
Bahar Aazam Branch,132 El Bahr El Aazam St.,29.997081,31.214344
City Club Branch,City Club - Abour City,30.175855,31.474768
Agouza Branch,"106 Nile St, Agouza",30.042645,31.218968
Khalifa Maamoun Branch.,"21 El Khalifa El Maamoun St., Roxy",30.088282,31.310367
City Stars Branch,Nasr City,30.072009,31.344437
New Nozha Branch,12 Abrahim El Shawarby,30.121675,31.367643
10th Ramadan Branch .District3,"Banking Area, District 3",30.296865,31.746406
Gleem Branch,568 Horia Road,31.237456,29.957914
Sheraton Heliopolis Branch,Abd El Hamid Badawy Extension,30.105967,31.375757
Alamonum Complex Branch,Naaga Hamady,25.993471,32.330639
Mobile ATM,"10th Ramadan Branch, Banking Area",29.990015,30.979734
Luxor 2 Branch (New Luxor),54 Maabad El Karnak Luxur,25.705576,32.644147
Sohag Branch,7 Saad Zaghloul St.,26.555542,31.699966
Helwan Branch,"40 Mohamed Said Ahmed St., - Helwan",29.847214,31.331919
Sadat Branch,9 Mahwar El Khadamat,30.375819,30.501845
Future Mall,"Taba St, beside Arabella",29.982181,31.4263
Qena Branch,Al Shaheed Abd Almaneem Riad Sq.,26.158158,32.715611
Raya Market,Zaker Hussein,30.043204,31.330881
Momen Cairo Mall,Cairo Mall,29.99861,31.173851
26 July Branch,157 26 July St.,30.05921,31.224161
Port Said Branch,18 Algamhoria &amp; El Gaberty,31.264864,32.311869
Cairo Branch,49 Kasr El Nile,30.049273,31.245986
Abu Gomaa center,Abu Gomaa Center El qoumia square,30.590411,31.494965
Tanta Branch,Ahmed Maher St,30.78617,30.997573
Mobil Miami,"257 El Horrya Road, Crossing Iskandar Ibrahim St.",31.212313,29.93434
Family Mall,"Mohamed Sabry St., Janakles",31.243765,29.969185
General Authority for investment,Salah Salem Road,30.071113,31.296841
Tahrir Branch,1 Kasr El Nil St.,30.046413,31.235437
Ragab Sons Supermarket - Nasr City,126 Mostafa el Nahas St.,30.055156,31.355377
El Serag Mall,"Atya El Sawahly St, Makram Ebade",30.050838,31.350002
Green Plaza Mall,Beside Abees Traffic,31.206933,29.964352
Ragab Sons Supermarket,15 Mourad St.,30.020768,31.216578
10th of Ramadan Branch,El Ordonia District 10 of Ramdan,30.2991721,31.7542649
Dekheila Branch,Ezz Steel Company wall - beside gate (2),30.0499695,31.2053052
Fifth District Branch,305 90 St - Fifth District - New Cairo,30.0035406,31.4262763
cairo Airport,cairo Airport,30.1114621,31.4153838
Khaled Ibn El-Waleed Branch (Luxor),Luxor Airport,25.6702457,32.704019
Sadat Branch,"El-Sadat, 1st Banks Area",30.419302,30.577011
Abbas Ek Akkad,59 Abbas El Akkad st.,30.054992,31.338038
Concorde El Salam,"Abd el-hamied badwy St, Concord El-Salam Hotel, Heliopolis",30.123959,31.347991
Marriott,"Marriott Hotel, Al zamalek",30.057035,31.225118
Italian Consulate,25 Raml station,31.201665,29.900313
General Organization for Investment Branch,"Hayaet ElEstethmar, salah Salem st., Nasr City",30.0710484,31.2966881
New Damieta Elgalaa,El Galaa St.,31.4171571,31.8133458
Sidi Bishr,"101 Khaled Ibn El Waleed St., Sidi Bishr",31.259117,29.982073
Sakalta Branch,El Gazaer St,26.658407,31.673514
Nadi El-Kodah,"23 Mostafa Kamel St., Inside Club Premises",31.229759,29.95571
Khaled Ibn El Waleed,29 Khaled Ibn El Waleed St.,25.686972,32.631347
Alamonum Complex,Naaga Hamady,25.993471,32.330639
Zamalek,8 El Kamel Mohamed St.,30.059435,31.219381
Zagazig,35 Talaat Harb St and Ismail Fakhry intersection.,30.588028,31.504455
Wadi El Natron,"Al Kilo 106 Cairo Alexandria road, beside the rest house",30.3953748,30.3726348
Tookh,"Al Delta st, Tookh",30.3593878,31.2000588
Tima,1 Ahmed Orabi street - Tima,26.9027759,31.435031
Tanta,Ahmed Maher St,30.78617,30.997573
Talaat Harb,"23 Talaat Harb St., Atareen",31.196981,29.898439
Tahta,Portsaid street - tahta,26.7696226,31.5037358
Tahrir,1 Kasr El Nil street,30.046413,31.235437
Suez El Sabah,"3 Third District St., Al Sabbah",29.988972,32.519944
Sporting,"172 Omar Lotfy St., Sporting",31.218252,29.931886
Sohag,7 Saad Zaghloul st,26.555542,31.699966
Smart Village,Smart Village,30.078432,31.013648
Sinnuris,"1 Shohadaa SQ., HDB Building",29.410224,30.86658
Sinbillawein,Port Said Street - Sinbillawin,30.882405,31.46034
Shoubra El Khima,Shoubra Al Khayma - Industrial Housing beside Crystal Asfour,30.1253449,31.2553364
Shoubra,46 Shoubra St.,30.071053,31.24472
Shooting Club,20 A Shooting club street,30.042944,31.203001
Sherif,23 Gawad Hussni St. Cairo,30.04974,31.243433
Sherbin,El Gueish St.,31.1944297,31.5202045
Sheraton Heliopolis,Abd El Hamid Badawy Ext - Sheraton,30.105967,31.375757
