name,lng,lat
15th Of May City Educational Administration,31.364691000000001,29.826803999999999
6th Of October Educational Administration,30.911432999999999,29.940214000000001
Abdin Educational Administration,31.235075999999999,30.042883
Abnoub Educational Administration,31.148492999999998,27.264095999999999
Abou El Matamir Educational Administration,30.168382000000001,30.913004000000001
Abou El Nomros Educational Administration,31.214673999999999,29.953154000000001
Abou Hammad Educational Administration,31.678090999999998,30.541416999999999
Abou Hommos Educational Administration,30.317458999999999,31.102654999999999
Abou Qorqas Educational Administration,30.819237000000001,27.934851999999999
Abou Redis Educational Administration,33.099639000000003,29.059621
Abou Soweir Educational Administration,32.114254000000003,30.564053000000001
Abou Tesht Educational Administration,32.096176,26.120933000000001
Aga Educational Administration,31.320426999999999,30.840439
Ain Shams Educational Administration,31.347512999999999,30.136053
Akhmeem Educational Administration,31.736702999999999,26.565926999999999
Arment Educational Administration,32.547677999999998,25.616813
Ashmoun Educational Administration,30.98667,30.294891
Assyout Educational Administration,31.186548999999999,27.197206000000001
Aswan Educational Administration,32.894499000000003,24.089296999999998
Atsa Educational Administration,30.802512,29.242338
Bab El Sheareya Educational Administration,31.235075999999999,30.042883
Badr Educational Administration,30.708074,30.584088000000001
Baltim Educational Administration,31.094334,31.553432999999998
Bandar Damanhour Educational Administration,30.468005999999999,31.046517999999999
Bandar Kafr El Dawar Educational Administration,30.129574999999999,31.131302999999999
Banha Educational Administration,31.183630000000001,30.457663
Bani Mazar Educational Administration,30.793216999999999,28.496317000000001
Banisuef Educational Administration,31.098561,29.075171000000001
Basion Educational Administration,30.821199,30.940470999999999
Beaar El Abd Educational Administration,33.013824,31.018608
Beba Educational Administration,30.987155999999999,28.927385000000001
Beilla Educational Administration,31.219684000000001,31.174695
Belbeis Educational Administration,31.566970999999999,30.421811000000002
Berket El Sabaa Educational Administration,31.075590999999999,30.639213000000002
Bir Shalaten Educational Administration,35.601818600000001,23.1393734
Borg El Arab Educational Administration,29.586085000000001,30.884028000000001
Boulak El Dakrour Educational Administration,31.203993000000001,30.016674999999999
Damietta Educational Administration,31.811502999999998,31.412984000000002
Dar El Salam Educational Administration,32.056713999999999,26.275912999999999
Daraw Educational Administration,32.928483999999997,24.413544000000002
Dayrout Educational Administration,30.811896999999998,27.552178000000001
Deir Mawas Educational Administration,30.852222000000001,27.643186
Dekernes Educational Administration,31.593347999999999,31.085704
Deshna Educational Administration,32.468006000000003,26.123552
Desouq Educational Administration,30.643744000000002,31.131917999999999
Deyarb Negm Educational Administration,31.457059999999998,30.753056999999998
Dokki Educational Administration,31.213000000000001,30.038
Down Cairo Educational Administration,31.288955000000001,30.071266999999999
East Alexandria Educational Administration,29.915514000000002,31.196026
East El Mahalla El Kobra Educational Administration,31.171796000000001,30.978141999999998
East El Mansoura Educational Administration,31.395702,31.046702
East El Zaqaziq Educational Administration,31.481515999999999,30.587173
East Nasr City Educational Administration,31.319900000000001,30.075900000000001
East Port Said Educational Administration,32.300341000000003,31.261035
East Shoubra El Khaima Educational Administration,31.279834999999999,30.132878999999999
East Tanta Educational Administration,31.006996000000001,30.794502000000001
Edkou Educational Administration,30.300764999999998,31.301704999999998
Education Directorate - 6th of October,31.011239,30.034723
Education Directorate - Alexandria,29.983567000000001,31.173542999999999
Education Directorate - Assyout,31.191146,27.182672
Education Directorate - Aswan,32.899780999999997,24.092265000000001
Education Directorate - Banisuef,31.098555999999999,29.082262
Education Directorate - Cairo,31.276219999999999,30.064117
Education Directorate - Damietta,31.809906999999999,31.413985
Education Directorate - El Beheira,30.464261,31.043631000000001
Education Directorate - El Daqahleya,31.374341000000001,31.037770999999999
Education Directorate - El Fayoum,30.843343999999998,29.304076999999999
Education Directorate - El Gharbeya,30.991879000000001,30.786525000000001
Education Directorate - El Menia,30.752011,28.105125000000001
Education Directorate - El Monofeya,31.010439999999999,30.560307000000002
Education Directorate - El Qalioubeya,31.180122000000001,30.455573000000001
Education Directorate - El Sharqeya,31.493328000000002,30.583062999999999
Education Directorate - El Wadi El Gadid,30.541765999999999,25.452866
Education Directorate - Giza,31.210000999999998,30.024190999999998
Education Directorate - Helwan,31.295563999999999,29.853783
Education Directorate - Ismaileya,32.273944999999998,30.612915000000001
Education Directorate - Kafr El Sheikh,30.940401999999999,31.111105999999999
Education Directorate - Luxor,32.647900999999997,25.709582999999999
Education Directorate - North Sinai,33.819423,31.138653999999999
Education Directorate - Port Said,32.275911000000001,31.252084
Education Directorate - Qena,32.720945,26.155601000000001
Education Directorate - Red Sea,33.812086999999998,27.252956000000001
Education Directorate - Sohag,31.700586999999999,26.554030999999998
Education Directorate - South Sinai,33.626196,28.239453999999999
Education Directorate - Suez,32.550992999999998,29.964267
El Agouza Educational Administration,31.212313999999999,30.057352000000002
El Ammerya Educational Administration,29.804898999999999,31.002824
El Arish Educational Administration,33.826357000000002,31.138169000000001
El Ayyat Educational Administration,31.280984,29.571437
El Badary Educational Administration,31.415714000000001,26.995899000000001
El Badrasheen Educational Administration,31.274836000000001,29.847567999999999
El Bagour Educational Administration,31.0366587,30.4292026
El Balina Educational Administration,32.003121,26.233160999999999
El Bassateen & Dar El Salam Educational Administration,31.274878999999999,29.984280999999999
El Bayadeya Educational Administration,32.631819,25.663827999999999
El Dabaa Educational Administration,28.4457828,31.0293335
El Dakhla Educational Administration,28.986080000000001,25.492113
El Delengat Educational Administration,30.536370999999999,30.826753
El Edwa Educational Administration,30.763584999999999,28.698059000000001
El Gamaleya Educational Administration,31.860876999999999,31.175471000000002
El Ghanayem Educational Administration,31.328184,26.873861000000002
El Gomrok Educational Administration,29.892012000000001,31.196183000000001
El Hammam Educational Administration,29.374632999999999,30.852032999999999
El Hamoul Educational Administration,31.147086999999999,31.31128
El Hassana Educational Administration,33.785006000000003,30.468063999999998
El Hawamdeya Educational Administration,31.270464,29.897866
El Husseineya Educational Administration,31.915217999999999,30.859895999999999
El Ibrahimeya Educational Administration,31.567829,30.719038000000001
El Khalifa & Mokattam Educational Administration,31.254249000000002,30.035684
El Khalifa & Mokattam Educational Administration,31.241828999999999,30.034889
El Khanka Educational Administration,31.366112000000001,30.227799000000001
El Mahmoudeya Educational Administration,30.527422000000001,31.180602
El Manzalah Educational Administration,31.934884,31.160567
El Maragha Educational Administration,31.602421,26.700977999999999
El Marg Educational Administration,31.341097000000001,30.149965999999999
El Matareya Educational Administration,31.298144000000001,30.113731000000001
El Matareya Educational Administration,32.007733000000002,31.169674000000001
El Menia Educational Administration,30.753587,28.103190999999999
El Montazah Educational Administration,30.059871000000001,31.302737
El Negeila Educational Administration,26.583133,31.407171000000002
El Nozha Educational Administration,31.288955000000001,30.071266999999999
El Qanater El Khaireya Educational Administration,31.138643999999999,30.187411000000001
El Qassaseen Educational Administration,31.934671000000002,30.567231
El Qouseyah Educational Administration,30.818745,27.441853999999999
El Quseir Educational Administration,34.282249,26.106465
El Rahmaneya Educational Administration,30.638589,31.103581999999999
El Riad Educational Administration,30.942848000000001,31.240008
El Roda Educational Administration,31.758217999999999,31.325462999999999
El Sadat Educational Administration,30.505803,30.361304100000002
El Sahel Educational Administration,31.244782000000001,30.072153
El Salam City Educational Administration,31.394248000000001,30.143661000000002
El Santah Educational Administration,31.125781,30.730857
El Sarw Educational Administration,31.654312000000001,31.239056000000001
El Sayeda Zeinab Educational Administration,31.241958,30.034587999999999
El Sharabeya Educational Administration,31.258281,30.086905000000002
El Sheikh Zowaid Educational Administration,34.109672000000003,31.211272000000001
El Shohadaa Educational Administration,30.900925000000001,30.590285999999999
