"adm1","hospital","address","phone","specialized","lat","lng"
"Assiut","مستشفى النساء والولادة","ش. 26 يوليو","2375689",TRUE,NA,NA
"Luxor","حميات ارمنت","ارمنت الوابورات - المراعزة","095/2620346",TRUE,25.6091597,32.5142739
"Luxor","حميات الاقصر","قرية الحبيل","095/2324282",TRUE,25.6539443,32.6926675
"Luxor","رمد اسنا","ش. احمد العربى","095/2510310",TRUE,NA,NA
"Luxor","صدر اسنا","ش. البحر","095/2510441",TRUE,25.3135566,32.569018
"Ismailia","حميات الاسماعيلية","امام كوبرى الجلاء","064/3456463",TRUE,30.5810531,32.2560182
"Ismailia","حميات حلوان","حميات حلوان","25561530",TRUE,30.1790786,31.4508156
"Ismailia","صدر الاسماعيلية","الاسماعيلية","3327742",TRUE,30.5735698,32.2588598
"Alexandria","عباس حلمى لعلاج الادمان","طريق اسكندرية مطروح بين البيطاش والهانوفيل","03/3019340",TRUE,31.111646,29.7914337
"Alexandria","المعموره للصحة النفسية","ش. النبوى المهندس - المعموره","03/5338840",TRUE,31.2699252,30.0255489
"Alexandria","حميات محرم بك","الحضرة -امبروزو امام سجن الحضرة","4293143",TRUE,31.1953428,29.9233675
"Alexandria","دار اسماعيل","9 ش. شريف - مينا البصل","03/3612807",TRUE,31.1862402,29.8918494
"Alexandria","رمد الاسكندرية","ش. وابور المياه امام اكاديمية السادات - محرم بك","3931519",TRUE,31.1973435,29.9166019999999
"Alexandria","صدر المعمورة","ش. النبوى المهندس - المعمورة","03/5333701",TRUE,31.2671797,30.0269479999999
"Alexandria","صدر كوم الشقافة","كوم الشقافة - ش. خوفو امام ورش الترام","03/3623208",TRUE,31.1789994,29.8922403
"Alexandria","مستشفى صلاح العوضى","ش. د. رشاد سويدان - البيطاش","03/3091744",TRUE,31.1172797,29.7927342
"Red Sea","حميات الغردقة","ش. الحجاز طريق المطار","065/3549188",TRUE,27.2198267,33.8184496
"Behera","حميات دمنهور","ش. طريق النصر - مجمع المواقف","045/3349254",TRUE,31.0215544,30.4674843
"Behera","حميات كفر الدوار","المنشيه الجديده - ش. احمد عرابى بجوار مدرسه الصنايع","045/2212181",TRUE,NA,NA
"Behera","رمد دمنهور","ش. الجمهورية","045/3317959",TRUE,31.0454887,30.4674429
"Behera","صدر دمنهور","ش. الجمهورية امام كلية التربية","045/3317715",TRUE,31.0515293,30.4613119
"Behera","مركز فرنكوبازاليا للرعاية النفسية فى المجتمع","مركز الرعاية الصحية بقومبانية ابوقير الخط الوسطانى امام قسم شرطة عرابى","045/2290300",TRUE,NA,NA
"Giza","حميات امبابة","ش. كورنيش النيل","33112430",TRUE,30.083864,31.225769
"Giza","رمد الجيزة","530 ش. الاهرام قبل كوبرى عباس","35723148",TRUE,30.0153611999999,31.216557
"Giza","رمد امبابة","ش. الطيار فكرى زاهر","33118728",TRUE,30.0111019,31.2088447
"Giza","صدر الجيزة","ش. ترعة الزمر - العمرانية الغربية","35624758",TRUE,29.995458,31.202638
"Dakahlia","الدميره للصحة النفسية","دميره","050/2625026",TRUE,31.1408686,31.3804787
"Dakahlia","حميات المنصورة","ش. مستشفى الصدر","050/2245602",TRUE,31.0333744,31.3732542
"Dakahlia","رمد المنصورة","ش. جيهان بجوار مستشفى الطوارىء","050/2242273",TRUE,31.0441115,31.3649736
"Dakahlia","صدر المنصورة","ش. الخلفاء الراشدين","050/2242904",TRUE,31.0343458,31.3748579
"Dakahlia","صدر بهوت","بهوت","050/2784443",TRUE,31.2019456,31.3175496
"Suez","حميات السويس","ش. المستشفيات - خلف السويس العام","3331212",TRUE,29.9665787,32.5452848
"Suez","صدر السويس","حى الملاحة - ش. دار البلدية","062/3331196",TRUE,29.9645410999999,32.5459359
"Sharkia","العزازى للصحة النفسية","كفر العزازى","055/3440536",TRUE,30.5857484,31.7199319
"Sharkia","حميات الزقازيق","النحال - ش. الحميات","055/2283286",TRUE,30.5735346,31.5084102
"Sharkia","حميات فاقوس","ش. بور سعيد","055/3979805",TRUE,30.7309415,31.7881024
"Sharkia","رمد الزقازيق","ش. الجيش (يوسف بك)(طريق هرية الجديد)","055/2303745",TRUE,30.5979929,31.5219237
"Sharkia","صدر الزقازيق","ش. الزراعه","055/2323258",TRUE,30.5723764,31.5095351
"Gharbia","حميات المحلة","طريق سكة طنطا","040/2421185",TRUE,30.9496215,31.1494403
"Gharbia","حميات طنطا","ش. البحر","040/3333878",TRUE,30.785167,30.9943429
"Gharbia","حميات كفر الزيات","طريق مصر الاسكندرية الزراعى","040/2542536",TRUE,30.8130357,30.8203539
"Gharbia","رمد المحلة","ش. محب","040/2232559",TRUE,30.9785335,31.1685472
"Gharbia","رمد طنطا","ش. الجيش","040/3353294",TRUE,30.793867,30.9980344
"Gharbia","صدر المحلة الكبرى","طريق سكة طنطا","040/2420068",TRUE,30.9525298,31.1506344
"Gharbia","صدر طنطا","ش. البحر","040/3334260",TRUE,30.8015364,30.9943088
"Gharbia","طنطا للصحة النفسية","ش. عبد الحى مشهور من ش. الجيش بجوار المستشفى الجامعى","040/3334930",TRUE,30.8028823,30.9939222
"Gharbia","مركز شبرا قاص علاج الادمان","شبرا قاص - امام الوحدة البيطرية","040/5305739",TRUE,NA,NA
"Fayoum","حميات الفيوم","حى السلخانة","332422",TRUE,29.3084021,30.8428497
"Fayoum","رمد الفيوم","ش. سعد زغلول - بندر الفيوم","337363",TRUE,29.3122113,30.846378
"Fayoum","صدر الفيوم","الفيوم - بجوار التامين الصحى","307364",TRUE,29.310379,30.859082
"Cairo","العباسية للصحة النفسية","طريق صلاح سالم بجوار ارض المعارض","22616255",TRUE,30.0683448,31.2982454
"Cairo","حلوان للصحة النفسية","بين العزبتين امتداد ش. منصور","25547387",TRUE,29.854856,31.3389757
"Cairo","حميات العباسية","امتداد ش. رمسيس بجوار المحطة الدولية","23424024",TRUE,30.0642943,31.2933918
"Cairo","رمد قلاوون","80 ش. المعز لدين الله الفاطمى - الحسين - الجمالية","25901681",TRUE,30.0492781,31.2602586
"Cairo","صدر العباسية","ش. السكة البيضاء متفرع من الاتوستراد","23425024",TRUE,30.0572989,31.2950299
"Cairo","مصر الجديدة للصحة النفسية","اخر طريق المطار بجوار فندق موفنبيك خلف محطة بنزين التعاون","24152631",TRUE,30.1218504,31.3953893
"Kalyoubia","الخانكة","الخانكة","4698437",TRUE,30.222636,31.361997
