"adm1","hospital","address","phone","specialized","lat","lng"
"Giza","الحوامدية العام","طريق مصر اسيوط - الحوامدية","38114164",FALSE,29.887511,31.2727559999999
"Giza","الشيخ زايد","مدينة الشيخ زايد - الحى الاول المجاورة الاولى","38502523",FALSE,30.0320571,31.0031313
"Giza","الصف المركزى","الصف","38620444",FALSE,29.5834036,31.2847012
"Giza","العياط المركزى","ش. الجيش - طريق مصر اسيوط","38606443",FALSE,29.6264719,31.2586141
"Giza","الواحات البحرية المركزى","الباويطى","38472390",FALSE,28.3475945,28.8701362
"Giza","ام المصريين العام","ش. ربيع الجيزى","35720622",FALSE,30.0056062,31.2096369
"Giza","امبابة العام","ميدان بن خلدون - الكيت كات - امبابة","33040116",FALSE,30.065937,31.2077379
"Giza","اوسيم المركزى","اوسيم","38700550",FALSE,30.122015,31.140832
"Giza","بولاق الدكرور العام","ش. ترعة الزمر - بولاق الدكرور","33072002",FALSE,29.9932886999999,31.2048251
"Dakahlia","اتميدة المركزى","اتميدة","050/6800304",FALSE,30.767057,31.3463786
"Dakahlia","اجا المركزى","ش. بورسعيد","050-6456965",FALSE,30.9357852,31.2899948
"Dakahlia","الجمالية المركزى","طريق صان الحجر (حى الزمالك)","050-7731379",FALSE,31.1651466,31.8644922
"Dakahlia","السنبلاوين المركزى","ارض الجمال","050-6691601",FALSE,30.8903928,31.4600797
"Dakahlia","المطرية المركزى","ش. تانيس","050-7750343",FALSE,31.1818601,32.0335847
"Dakahlia","المقاطعة المركزى","المقاطعة","050/6780485",FALSE,30.894519,31.550502
"Dakahlia","المنزلة المركزى","المنزلة","050-7702903",FALSE,31.1629324,31.9460089
"Dakahlia","المنصورة العام الجديد","ش المستشفى الجديد - خلف الاستاد الرياضى","050-2215760",FALSE,31.0320306,31.390968
"Dakahlia","المنصورة العام القديم","ش. الجمهورية من ش. على باشا ابراهيم","050-2249222",FALSE,31.0441204,31.3663155
"Dakahlia","بلقاس المركزى","بلقاس","050/2784321",FALSE,31.2184507,31.348981
"Dakahlia","بنى عبيد المركزى","بنى عبيد","050/2640707",FALSE,31.0259307,31.6437203
"Dakahlia","تمى الامديد المركزى","تمى الامديد - ابو الصير","050/6850767",FALSE,30.9226917,31.5377033
"Dakahlia","جمصة المركزى","ش. الفتح القديمة","050/2740521",FALSE,31.4351822,31.5428918
"Dakahlia","دكرنس العام","دكرنس","050-7481130",FALSE,31.0872426,31.6016763
"Dakahlia","دماص المركزى","دماص","050/6880146",FALSE,30.8093298,31.3210688
"Dakahlia","شبرا سندى المركزى","شبرا سندى","050/6760802",FALSE,30.8720847,31.5407449
"Dakahlia","شبراهور المركزى","كفر شبراهور - السنبلوين","050/6710780",FALSE,30.9151074,31.3913512
"Dakahlia","شربين المركزى","شربين","050/7925935",FALSE,31.1962675,31.5203547
"Dakahlia","طلخا المركزى","ش. البحر","050/2523131",FALSE,31.0500839,31.3721204
"Dakahlia","منية النصر المركزى","ش. كلية التربية النوعية","050/7498419",FALSE,31.1208334,31.6457883
"Suez","السويس العام","ش. صلاح الدين الايوبى - حى السويس","3331194",FALSE,29.9681278,32.5475268
"Sharkia","ابو حماد المركزى","ش. التحرير مركز أبوم حماد","055/3407055",FALSE,30.5407378,31.6776931
"Sharkia","ابو كبير المركزى","ش. مصطفى كامل","055/3510137",FALSE,30.7197761,31.6592395
"Sharkia","الابراهيمية المركزى","ش. الجمهورية","055/2590595",FALSE,30.7236227,31.554163
"Sharkia","الحسينية المركزى","ش. المستشفى","055/2776420",FALSE,30.863928,31.9126975
"Sharkia","الزقازيق العام الجديد","ش الأحرار - طريق الزقازيق","055/2362739",FALSE,NA,NA
"Sharkia","الزقازيق العام القديم","ش. الحكماء بجوار سجن الزقازيق","055/2305036",FALSE,30.5931145,31.5093758
"Sharkia","الزوامل المركزى","حى الزوامل","055/2820113",FALSE,30.3484053,31.4346018
"Sharkia","السعديين المركزى","مينا القمح - السعديين","055/3700877",FALSE,30.4518735,31.3714155
"Sharkia","الصالحية المركزى","الصالحية الجديدة","055/3201692",FALSE,30.6310022,31.9405721
"Sharkia","الصوفية المركزى","اولاد صقر - الصوفية","055/3310303",FALSE,30.913441,31.769875
"Sharkia","القرين المركزى","القرين ش. اللواء عبدالعزيز القمحاوى (القلعة)","055/3440435",FALSE,30.6074675,31.7460251
"Sharkia","القنايات المركزى","طريق الزقازيق المنصورة","055/2630310",FALSE,30.6134086,31.465732
"Sharkia","اولاد صقر المركزى","الطريق السريع","055/3464636",FALSE,30.944387,31.717325
"Sharkia","بلبيس المركزى","بلبيس - بجوار محطة الجديدة","055/2850001",FALSE,30.4309229,31.5599495
"Sharkia","تلراك","تلراك","055/3320174",FALSE,30.891089,31.729352
"Sharkia","ديرب نجم المركزى","ش. 23 يوليو","055/3760591",FALSE,30.7505355,31.450966
"Sharkia","فاقوس العام","فاقوس","055/3172867",FALSE,30.730972,31.786826
"Sharkia","كفر صقر المركزى","ش. التحرير","055/3186088",FALSE,30.7981877999999,31.6285772
"Sharkia","مشتول السوق المركزى","ش. المدينة المنورة","055/2573323",FALSE,30.3613411,31.3851982
"Sharkia","منيا القمح المركزى","ش. الحرية","055/3660049",FALSE,30.5212481,31.3521045
"Gharbia","ابيار","ابيار","040/2580802",FALSE,30.8377933,30.8676573
"Gharbia","السنطة المركزى","ش. المركز","040/5476645",FALSE,30.7323466,31.1261237
"Gharbia","المحلة الكبرى العام","ش. 6 اكتوبر ابو شاهين","040/2223181",FALSE,30.9766799999999,31.1760396
"Gharbia","المنشاوى العام","ش. تكية المنشاوى متفرع من ش. الجيش","040/3302036",FALSE,30.7893686,31.0013312
"Gharbia","بسيون المركزى","ش. 23 يوليو","040/2730197",FALSE,30.9379744,30.8014027
"Gharbia","زفتى العام","ش. الجيش","040/5703065",FALSE,30.7118575,31.2501383
"Gharbia","سمنود المركزى","ش. السكة الحديد","040/2970010",FALSE,30.9654984,31.2434006
"Gharbia","قطور المركزى","ش. المرور طريق طنطا كفر الشيخ","040/2760818",FALSE,31.0045019,30.8873909999999
"Gharbia","كفر الزيات العام","ش. الجيش بجوار المطافى","040/2545751",FALSE,30.820231,30.819215
"Gharbia","محلة مرحوم المركزى","محلة مرحوم","040/3603741",FALSE,30.8133888,30.9595799
"Fayoum","ابشواى المركزى","ش. الجمهورية","6710474",FALSE,29.3707596,30.6883657
"Fayoum","اطسا المركزى","ش. عمر بن الخطاب","6413427",FALSE,29.2370397,30.7986739
"Fayoum","الفيوم العام","ش. النبوى المهندس - دار رماد","342803",FALSE,29.3166622,30.8494481
"Fayoum","سنورس المركزى","بندر سنورس - ش. المدارس","6907568",FALSE,29.4087034,30.8587204
"Fayoum","طامية المركزى","ش. المستشفى بجوار مركز الشرطة","6610715",FALSE,29.4773475,30.954355
"Fayoum","فيدمين المركزى","فيدمين","6550535",FALSE,29.3837655,30.785123
"Cairo","التبين","بجوار مدرسة الصلب الثانوية بنات - خلف المركز الطبى بالتبين - مساكن الصلب الجديدة","25028815",FALSE,29.7835007,31.3028822
"Cairo","الخازندارة العام","3 ش. شيبان متفرع من ش. شبرا امام هندسة شبرا","22057593",FALSE,30.0830439,31.2461774
"Cairo","الخليفة العام","22 ش. السويفى الحلمية الجديدة - القلعة","23904686",FALSE,30.0335389,31.2536181
"Cairo","الزاوية الحمراء العام","ش. المستشفى بجوار المخبز الالى","24248004",FALSE,30.1016278,31.2663174
"Cairo","الشروق المركزى","الحى الثانى بجوار بنك الاسكان والتعمير","26879119",FALSE,30.1553845,31.6180935999999
"Cairo","القاهرة الجديدة المركزى","التجمع الثالث بجوار الالمانية","27594306",FALSE,29.9789913999999,31.4367506
"Cairo","المنيرة العام","2 ش. نوبار  - السيدة زينب","27947411",FALSE,30.0349052,31.2383557
"Cairo","بدر المركزى","الحى الثالث مجاورة 1","28646681",FALSE,NA,NA
"Cairo","بولاق ابوالعلا العام","5 ش. المطبعة الاهلية","25755211",FALSE,30.0630818,31.2285197
"Cairo","دار السلام العام","987 كورنيش النيل - مصر القديمة","23637769",FALSE,30.0126685,31.2283386
"Cairo","روض الفرج","مجمع مبارك الحضارى - ارض سوق روض الفرج القديم","24608857",FALSE,30.0716171,31.2347182999999
"Cairo","شبرا العام","76 ش. المستشفى من ش. الترعة البولاقية","22352325",FALSE,30.0732158,31.2523966999999
"Cairo","م . 15 مايو","نهاية مجاورة 3 امام حى رجال الاعمال","25503854",FALSE,29.8292791,31.3635364
"Cairo","م . الشيخ زايد ال نهيان","طريق النصر - أباجية - قسم الخليفة","112400601",FALSE,30.0496897,31.2882983
"Cairo","م . حلوان","3 ش. زكى","25564516",FALSE,29.8471568,31.3419845
"Cairo","م . عين شمس","مساكن عين شمس بجوار محطة الكهرباء","22962572",FALSE,30.0766156,31.2902641
"Cairo","منشية البكرى العام","منشية البكرى - 13 ش. جسر السويس","22582336",FALSE,30.0917868,31.3065072
"Kalyoubia","ابو المنجا المركزى","أول طريق القناطر الخيرية - بجوار مصنع ياسين","44459396",FALSE,30.1303711,31.2305649
"Kalyoubia","الخصوص المركزى","ش. النادى بجوار الوحدة المحلية الخصوص","44694016",FALSE,30.15763,31.3124608
"Kalyoubia","القناطر الخيرية المركزى","التقسيم السياحى - ش. النادى","42188148",FALSE,30.1911345,31.1412138
