bureau,lat,lon
Health Bureau - El Gomrok,31.209732,29.881358
Health Bureau - El Goura,31.1284932,34.1627812
Health Bureau - El Hadra,31.201291,29.939336
Health Bureau - El Hammam,30.8407423,29.3905467
Health Bureau - El Hamoul,31.298287,31.138984
Health Bureau - El Hassana,30.468229,33.7837422
Health Bureau - El Ibrahimeya,31.2080973,29.9293535
Health Bureau - El Ibrahimeya,31.2080973,29.9293535
Health Bureau - El Khalifa 1,30.027216,31.255688
Health Bureau - El Khalifa 2,30.027216,31.255688
Health Bureau - El Kharga,25.4390388,30.5586043
Health Bureau - El Kuwait District,31.2587199,32.2883409
Health Bureau - El Maasara El Balad,29.9034955,31.2873413
"Health Bureau - El Mahalla El Kobra 1, 4",30.9753485,31.1716649
Health Bureau - El Mahalla El Kobra 2,30.9753485,31.1716649
Health Bureau - El Mahalla El Kobra 3,30.9753485,31.1716649
Health Bureau - El Mahalla El Kobra 5,30.9727379,31.1637282
Health Bureau - El Mahmoudeya 1,,
Health Bureau - El Mahmoudeya 2,31.1826862,30.5275619
Health Bureau - El Manakh,31.268414,32.284794
Health Bureau - El Mandara,31.2759275,30.0114566
Health Bureau - El Mansheya,31.198472,29.891503
Health Bureau - El Mansoura 1,31.044646,31.396273
Health Bureau - El Mansoura 2,31.0470881,31.3765883
Health Bureau - El Mansoura 3,30.052995,31.334808
Health Bureau - El Mansoura 4,31.0470881,31.3765883
Health Bureau - El Manzalah,,
Health Bureau - El Maragha,26.6963055,31.6023606
Health Bureau - El Marg,30.1485785,31.3420093
Health Bureau - El Matareya,30.1253678,31.3181286
Health Bureau - El Matareya 1,30.1253678,31.3181286
Health Bureau - El Matareya 2,30.1254675,31.3219745
Health Bureau - El Menia 1,28.0943761,30.7528567
Health Bureau - El Menia 2,28.0943761,30.7528567
Health Bureau - El Menia 3,28.0943761,30.7528567
Health Bureau - El Menshah,26.4799918,31.797376
Health Bureau - El Moatamadeya,30.0300892,31.1755583
Health Bureau - El Monib,30.006631,31.206588
Health Bureau - El Monira,30.076758,31.208258
Health Bureau - El Moqataah,30.8950577,31.557852
Health Bureau - El Mothallath,29.9858378,32.529037
Health Bureau - El Mousky,30.0463,31.2541
Health Bureau - El Nawar,30.1397099,31.3083208
Health Bureau - El Negila,31.4049151,26.5891909
Health Bureau - El Nozha,30.121817,31.372087
Health Bureau - El Nozha El Gadida,30.121817,31.372087
Health Bureau - El Qabbary,31.168293,29.875066
Health Bureau - El Qanater El Khaireya,30.1762897,31.2067851
Health Bureau - El Qassasin,,
Health Bureau - El Qobba 1,30.0838487,31.2847427
Health Bureau - El Qobba 2,30.0838487,31.2847427
Health Bureau - El Qoreen,30.613788,31.7370236
Health Bureau - El Quseir,26.115967,34.272609
Health Bureau - El Rahmaneya,31.1032384,30.6376451
Health Bureau - El Riad,31.2401028,30.9418723
Health Bureau - El Roghama,31.255145,30.967006
Health Bureau - El Sabaa Banat,30.587832,32.261909
Health Bureau - El Sadat,29.984869,32.5395298
Health Bureau - El Saedeya,30.3754768,32.2900703
