office,lat,lon
Post Office - El Masaudi,27.018097,31.300515
Post Office - El Nawamis,27.018701,31.3997255
Post Office - El Aqadema,27.0238059,31.2539172
Post Office - El Zeyara,27.0315256,31.2689634
Post Office - Abou Khars,27.0324009,31.3026883
Post Office - Bani Samea,27.0422672,31.281502
Post Office - Abou Tig,27.0431236,31.3150211
Post Office - Deir Tasa,27.0450679,31.3370074
Post Office - Tasa,27.053265,31.384739
Post Office - Dewaina,27.058726,31.272734
Post Office - Abou Monqar,27.061529,27.970091
Post Office - El Zawya,27.066449,31.218979
Post Office - El Awana,27.0844577,31.3398649
Post Office - Nazlet Baqour,27.096554,31.298586
Post Office - Rifa,27.097593,31.205821
Post Office - Deir Darnaka,27.110809,31.170173
Post Office - Hour,27.1151655,31.2429949
Post Office - Qarqares,27.136032,31.267902
Post Office - El Matiaa,27.138968,31.301116
Post Office - Darnaka,27.1390103,31.1790896
Post Office - Awlad Ibrahim,27.1557173,31.2481363
Post Office - Mubarak,27.1645373,31.1808362
Post Office - Arab El Madabegh,27.166892,31.154728
Post Office - Nazlet Abdellah,27.170303,31.203121
Post Office - El Walideya,27.177645,31.222187
Post Office - Arab El Atawla,27.1783117,31.1859257
Post Office - Asiout,27.1794693,31.1877015
Post Office - Asiout Mahatta,27.1794726,31.1876583
Post Office - Iskandareyet Mubarak,27.185183,31.078219
Post Office - Assiut University,27.1871103,31.1755636
Post Office - Faculty Of Pharmacy,27.1881011,31.1660775
Post Office - El Boura & El Hadaya,27.1967418,31.0772324
Post Office - Elwan,27.197465,31.097442
Post Office - Bani Ghaleb,27.199431,31.050922
Post Office - Islamic Faculty For Girls,27.201075,31.166817
Post Office - Manqebad,27.2013296,31.1033437
Post Office - El Maasara,27.205869,31.222394
Post Office - Bosra,27.218915,31.258546
Post Office - Bani Mor,27.2189853,31.1888273
Post Office - El Kasr,27.2194385,31.2332223
Post Office - Bani Zaid El Akrad,27.222387,31.154326
Post Office - El Feyama,27.2224262,31.23997
Post Office - El Ezzeya,27.222883,30.991848
Post Office - Masraa,27.228486,31.0284986
Post Office - Sallam,27.233509,31.113809
Post Office - El Odr,27.243527,31.101944
Post Office - Koum Abou Shail,27.245807,31.175035
Post Office - Hurghada,27.2496504,33.8196873
Post Office - Bani Adeyat,27.249954,30.927825
Post Office - Nagaa Sabaa,27.250805,31.062339
Post Office - Bahig,27.251997,31.106966
Post Office - Makady Beach,27.2578957,33.8116067
Post Office - El Hammam,27.261187,31.178958
Post Office - Abnoub,27.264569,31.155007
Post Office - Bani Ibrahim,27.2674027,31.151928
Post Office - Asiout El Gadida,27.2735943,31.2978682
Post Office - El Hawatka,27.2741877,31.018056
Post Office - Bani Mohamedeyat,27.280658,31.075417
Post Office - El Atamna,27.287533,30.897998
Post Office - Koum El Mansoura,27.2974704,31.0404978
Post Office - El Amayem,27.304842,30.877617
Post Office - Bani Magd,27.306654,30.932008
Post Office - Akhmeem 2,27.307826,30.9774378
Post Office - Manfalout,27.309251,30.965713
Post Office - Bani Rafea,27.3115158,30.9713333
Post Office - El Shanabla,27.3147555,31.0282076
Post Office - Naza Qarar,27.324706,30.914499
Post Office - El Maabda,27.339969,31.020975
Post Office - El Tataleya,27.341752,30.830073
Post Office - Bani Sheqir,27.360796,30.949848
Post Office - El Medwar,27.377305,30.888796
Post Office - El Deir El Mohreq,27.381547,30.778881
Post Office - El Gouna El Seyahy,27.385,33.6791667
Post Office - Arab El Gahma,27.394088,30.769843
Post Office - El Temsaheya,27.395023,30.806849
Post Office - El Saraqna,27.4177971,30.7755646
Post Office - El Habalsa,27.4279951,30.7600561
Post Office - Bani Qorra,27.4378935,30.8162909
Post Office - El Qouseya,27.437996,30.810766
Post Office - Bani Helal,27.4444444,30.8166667
Post Office - El Manashy Dayrout,27.494885,30.753079
Post Office - Koum Bouha,27.511285,30.818647
Post Office - El Mandara Bahary,27.537598,30.836106
Post Office - Beblaw,27.538672,30.790053
Post Office - Abou El Hedr,27.5502358,30.8077635
Post Office - Bawait,27.552835,30.717962
Post Office - Nazlet Mostafa,27.5729039,30.7008631
Post Office - Dashlout,27.573218,30.705458
Post Office - Nazlet Abdellah Dayrout,27.584937,30.831081
Post Office - Amshoul,27.5950743,30.7525064
Post Office - Garf Sarhan,27.596724,30.842079
Post Office - El Motawaa,27.599157,30.845497
Post Office - Ashmo El Arous,27.6376503,30.8510692
Post Office - Bani Salem,27.6394575,30.7980786
Post Office - Abou Qelta,27.7327603,30.8396598
Post Office - Ibshadat,27.7788099,30.7809676
Post Office - Sharm El Sheikh,27.860097,34.302749
Post Office - Abou Redis,27.9158175,34.3299505
Post Office - Abiouha,27.9307825,30.8380667
Post Office - El Menia 2,28.084807,30.759297
Post Office - El Maana,28.0864168,30.7621446
Post Office - Ard El Mawled,28.087225,30.763628
Post Office - El Menia Mahatta,28.098105,30.753283
Post Office - El Menia,28.10111,30.756204
Post Office - El Gadida,28.1023038,30.7537983
Post Office - Toukh El Khail,28.1044064,30.6708455
Post Office - Minia University,28.111752,30.741248
Post Office - Faculty Of Arts,28.123353,30.740379
Post Office - Astal,28.297814,30.7116561
Post Office - Abou Aziz,28.4225742,30.7729018
Post Office - Dahab,28.4836135,34.4910247
Post Office - Abou El Abbas,28.4916998,30.8026155
Post Office - Saint Catharine,28.570112,33.9346527
Post Office - Aba El Waqf Balad,28.6412365,30.8422984
