adm1,name,address,phone,specialized,lat,lng,types
Sharkia,مشتول السوق المركزى,ش. المدينة المنورة,055/2573323,FALSE,30.3613411,31.3851982,General
Sharkia,منيا القمح المركزى,ش. الحرية,055/3660049,FALSE,30.5212481,31.3521045,General
Gharbia,ابيار,ابيار,040/2580802,FALSE,30.8377933,30.8676573,General
Gharbia,السنطة المركزى,ش. المركز,040/5476645,FALSE,30.7323466,31.1261237,General
Gharbia,المحلة الكبرى العام,ش. 6 اكتوبر ابو شاهين,040/2223181,FALSE,30.9766799999999,31.1760396,General
Gharbia,المنشاوى العام,ش. تكية المنشاوى متفرع من ش. الجيش,040/3302036,FALSE,30.7893686,31.0013312,General
Gharbia,بسيون المركزى,ش. 23 يوليو,040/2730197,FALSE,30.9379744,30.8014027,General
Gharbia,زفتى العام,ش. الجيش,040/5703065,FALSE,30.7118575,31.2501383,General
Gharbia,سمنود المركزى,ش. السكة الحديد,040/2970010,FALSE,30.9654984,31.2434006,General
Gharbia,قطور المركزى,ش. المرور طريق طنطا كفر الشيخ,040/2760818,FALSE,31.0045019,30.8873909999999,General
Gharbia,كفر الزيات العام,ش. الجيش بجوار المطافى,040/2545751,FALSE,30.820231,30.819215,General
Gharbia,محلة مرحوم المركزى,محلة مرحوم,040/3603741,FALSE,30.8133888,30.9595799,General
Fayoum,ابشواى المركزى,ش. الجمهورية,6710474,FALSE,29.3707596,30.6883657,General
Fayoum,اطسا المركزى,ش. عمر بن الخطاب,6413427,FALSE,29.2370397,30.7986739,General
Fayoum,الفيوم العام,ش. النبوى المهندس - دار رماد,342803,FALSE,29.3166622,30.8494481,General
Fayoum,سنورس المركزى,بندر سنورس - ش. المدارس,6907568,FALSE,29.4087034,30.8587204,General
Fayoum,طامية المركزى,ش. المستشفى بجوار مركز الشرطة,6610715,FALSE,29.4773475,30.954355,General
Fayoum,فيدمين المركزى,فيدمين,6550535,FALSE,29.3837655,30.785123,General
Cairo,التبين,بجوار مدرسة الصلب الثانوية بنات - خلف المركز الطبى بالتبين - مساكن الصلب الجديدة,25028815,FALSE,29.7835007,31.3028822,General
Cairo,الخازندارة العام,3 ش. شيبان متفرع من ش. شبرا امام هندسة شبرا,22057593,FALSE,30.0830439,31.2461774,General
Cairo,الخليفة العام,22 ش. السويفى الحلمية الجديدة - القلعة,23904686,FALSE,30.0335389,31.2536181,General
Cairo,الزاوية الحمراء العام,ش. المستشفى بجوار المخبز الالى,24248004,FALSE,30.1016278,31.2663174,General
Cairo,الشروق المركزى,الحى الثانى بجوار بنك الاسكان والتعمير,26879119,FALSE,30.1553845,31.6180935999999,General
Cairo,القاهرة الجديدة المركزى,التجمع الثالث بجوار الالمانية,27594306,FALSE,29.9789913999999,31.4367506,General
Cairo,المنيرة العام,2 ش. نوبار  - السيدة زينب,27947411,FALSE,30.0349052,31.2383557,General
Cairo,بدر المركزى,الحى الثالث مجاورة 1,28646681,FALSE,NA,NA,General
Cairo,بولاق ابوالعلا العام,5 ش. المطبعة الاهلية,25755211,FALSE,30.0630818,31.2285197,General
Cairo,دار السلام العام,987 كورنيش النيل - مصر القديمة,23637769,FALSE,30.0126685,31.2283386,General
Cairo,روض الفرج,مجمع مبارك الحضارى - ارض سوق روض الفرج القديم,24608857,FALSE,30.0716171,31.2347182999999,General
Cairo,شبرا العام,76 ش. المستشفى من ش. الترعة البولاقية,22352325,FALSE,30.0732158,31.2523966999999,General
Cairo,م . 15 مايو,نهاية مجاورة 3 امام حى رجال الاعمال,25503854,FALSE,29.8292791,31.3635364,General
Cairo,م . الشيخ زايد ال نهيان,طريق النصر - أباجية - قسم الخليفة,112400601,FALSE,30.0496897,31.2882983,General
Cairo,م . حلوان,3 ش. زكى,25564516,FALSE,29.8471568,31.3419845,General
Cairo,م . عين شمس,مساكن عين شمس بجوار محطة الكهرباء,22962572,FALSE,30.0766156,31.2902641,General
Cairo,منشية البكرى العام,منشية البكرى - 13 ش. جسر السويس,22582336,FALSE,30.0917868,31.3065072,General
Kalyoubia,ابو المنجا المركزى,أول طريق القناطر الخيرية - بجوار مصنع ياسين,44459396,FALSE,30.1303711,31.2305649,General
Kalyoubia,الخصوص المركزى,ش. النادى بجوار الوحدة المحلية الخصوص,44694016,FALSE,30.15763,31.3124608,General
Kalyoubia,القناطر الخيرية المركزى,التقسيم السياحى - ش. النادى,42188148,FALSE,30.1911345,31.1412138,General
Kalyoubia,شبين القناطر المركزى,شبين القناطر,2720011,FALSE,30.3183124,31.3093024,General
Kalyoubia,طوخ المركزى,ش. الشهيد احمد عبد العزيز,2460131,FALSE,30.3638406,31.1962581,General
Kalyoubia,قليوب المركزى,ش. العاشر من رمضان,42157673,FALSE,30.1801448,31.2218678,General
Kalyoubia,قها المركزى,ش. مجلس المدينة,132601049,FALSE,30.2862985,31.2071656,General
Kalyoubia,كفر شكر المركزى,كفر شكر,013/2526740,FALSE,30.55314,31.2526703,General
Kalyoubia,مستشفى حى شرق (بهتيم) المركزى,135 ش. بهتيم العمومى - خلف محطة الكهرباء,48241726,FALSE,30.1379913999999,31.2719202,General
Kalyoubia,ناصر العام,ارض نوبار خلف مصانع كريستال عصفور,42201744,FALSE,30.124435,31.258292,General
Menoufia,اشمون المركزى,ش. بورسعيد,048/3442029,FALSE,30.2956975,30.9892049,General
Menoufia,الباجور المركزى,طريق الباجور منوف بجوار محطة المياه,048/3889075,FALSE,30.432699,31.029017,General
